Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Spectral Count	Blank_75umC8_0min_1x_01 Spectral Count	Blank_75umC8_0min_1x_02 Spectral Count	Blank_75umC8_0min_1x_03 Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	Blank_75umC8_0min_1x_01 Unique Spectral Count	Blank_75umC8_0min_1x_02 Unique Spectral Count	Blank_75umC8_0min_1x_03 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	Blank_75umC8_0min_1x_01 Total Spectral Count	Blank_75umC8_0min_1x_02 Total Spectral Count	Blank_75umC8_0min_1x_03 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Intensity	10ngQCHeLa_75umC8_0min_1x_02 Intensity	10ngQCHeLa_75umC8_0min_1x_03 Intensity	200pgQCHeLa_75umC8_0min_1x_00 Intensity	200pgQCHeLa_75umC8_0min_1x_01 Intensity	200pgQCHeLa_75umC8_0min_1x_02 Intensity	200pgQCHeLa_75umC8_0min_1x_03 Intensity	20ngQCHeLa_75umC8_0min_1x_01 Intensity	20ngQCHeLa_75umC8_0min_1x_02 Intensity	20ngQCHeLa_75umC8_0min_1x_03 Intensity	2ngQCHeLa_75umC8_0min_1x_01 Intensity	2ngQCHeLa_75umC8_0min_1x_02 Intensity	2ngQCHeLa_75umC8_0min_1x_03 Intensity	Blank_75umC8_0min_1x_01 Intensity	Blank_75umC8_0min_1x_02 Intensity	Blank_75umC8_0min_1x_03 Intensity	10ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_00 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	Blank_75umC8_0min_1x_01 MaxLFQ Intensity	Blank_75umC8_0min_1x_02 MaxLFQ Intensity	Blank_75umC8_0min_1x_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A096LP49|CC187_HUMAN	A0A096LP49	CC187_HUMAN	CCDC187	1063	Homo sapiens	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 187	0.7479	0.9886	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	1919876.5	0.0	1372492.0	1387942.5	1387481.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	4	16	0	16	1	2	0	0	0	0	0	3	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	3	2	2	1	2	0	0	0	3.5487468E7	2.893106E7	3.0489788E7	0.0	0.0	2998250.0	1.0453368E7	3.4572008E7	3.8087124E7	3.9828076E7	3.5504992E7	3.3961736E7	3.501952E7	0.0	0.0	0.0	1.7385056E7	1.7674594E7	1.7664766E7	0.0	0.0	0.0	0.0	1.9596798E7	1.7145658E7	1.820848E7	1.7596016E7	1.6674942E7	1.7370944E7	0.0	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein PIGBOS1	0.8997	0.9962	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1768125.8	2410393.2	0.0	0.0	0.0	0.0	0.0	1790861.6	1970338.1	1889642.0	0.0	2186680.2	1261550.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.9982	5	15	15	15	2	3	2	0	0	0	0	1	2	4	0	0	1	0	0	0	2	3	2	0	0	0	0	1	2	4	0	0	1	0	0	0	2	3	2	0	0	0	0	1	2	4	0	0	1	0	0	0	5918947.0	6175459.0	6010944.0	0.0	0.0	0.0	0.0	6118556.0	7099049.0	1.5210356E7	3513426.2	7060967.5	3903000.2	0.0	0.0	0.0	4034257.2	4218927.5	4145138.5	0.0	0.0	0.0	0.0	4305827.0	4892962.5	5018486.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.9989	6	18	18	18	1	6	2	0	0	0	0	2	4	3	0	0	0	0	0	0	1	6	2	0	0	0	0	2	4	3	0	0	0	0	0	0	1	6	2	0	0	0	0	2	4	3	0	0	0	0	0	0	9623182.0	1.2340342E7	8730284.0	0.0	0.0	0.0	0.0	1.2718704E7	1.2656641E7	2.7700052E7	6049354.0	1.0431072E7	8514895.0	0.0	0.0	0.0	4601932.5	4451984.5	4865689.5	0.0	0.0	0.0	0.0	4583361.5	4817467.0	5105441.0	4590706.5	5389495.0	4759119.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.9987	5	18	18	18	1	4	0	0	0	0	0	3	4	3	1	1	1	0	0	0	1	4	0	0	0	0	0	3	4	3	1	1	1	0	0	0	1	4	0	0	0	0	0	3	4	3	1	1	1	0	0	0	1.5563348E7	2.015047E7	2.0350468E7	0.0	0.0	0.0	0.0	1.7009854E7	1.9670332E7	1.5564066E7	1.4742698E7	1.8132402E7	1.9836452E7	0.0	0.0	0.0	4857335.5	5257513.5	5340028.5	0.0	0.0	0.0	0.0	5217297.5	5206992.0	4724923.5	4626442.0	5620377.0	5187361.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	5	16	16	16	1	2	0	0	0	0	0	4	4	4	0	0	1	0	0	0	1	2	0	0	0	0	0	4	4	4	0	0	1	0	0	0	1	2	0	0	0	0	0	4	4	4	0	0	1	0	0	0	2.6904996E7	2.816785E7	2.5969974E7	0.0	0.0	0.0	0.0	3.2479844E7	3.3157446E7	3.276452E7	1.436593E7	1.4379383E7	1.707877E7	0.0	0.0	0.0	1.1440415E7	1.229911E7	1.1051902E7	0.0	0.0	0.0	0.0	1.3330847E7	1.3149172E7	1.3303479E7	6250915.0	7697225.5	9348036.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	0.9689	0.9989	1	4	4	4	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3129398.5	3402935.8	3178757.2	0.0	0.0	0.0	0.0	3174916.2	3097186.0	3491614.8	2960972.0	2114051.8	3025975.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	5	15	15	15	1	3	2	0	0	0	0	2	2	3	1	1	0	0	0	0	1	3	2	0	0	0	0	2	2	3	1	1	0	0	0	0	1	3	2	0	0	0	0	2	2	3	1	1	0	0	0	0	2.8996904E7	2.7015202E7	2.829682E7	0.0	0.0	0.0	1.7326372E7	2.7302304E7	2.7905794E7	2.3510076E7	2.6205582E7	2.327784E7	2.4282068E7	0.0	0.0	0.0	1.1986211E7	1.0973856E7	1.08982E7	0.0	0.0	0.0	0.0	1.0679301E7	1.0701629E7	1.078881E7	1.0479788E7	8453158.0	8853870.0	0.0	0.0	0.0	
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	Homo sapiens	1:Experimental evidence at protein level	UPF0600 protein C5orf51	0.7522	0.9889	1	4	4	4	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1898309.2	2529357.8	2379736.8	0.0	0.0	0.0	0.0	2584474.5	2456183.5	2580102.0	0.0	2666653.2	2160609.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
