Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.997	2	6	0	6	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	1.133779E7	9249569.0	2.4301244E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A4FU69|EFCB5_HUMAN	A4FU69	EFCB5_HUMAN	EFCAB5	1503	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 5	0.9999	0.9966	2	3	3	3	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	1.5240614E7	1.5156846E7	1.2966012E7	0.0	0.0	0.0	0.0	8309613.0	8379347.0	7165787.5	0.0	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	0.9994	0.999	4	4	4	69	2	1	1	0	0	0	0	2	1	1	0	0	0	0	16	13	15	5	5	8	7	2.1368586E7	1.3563294E7	1.4594736E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	3	33	0	33	10	11	8	1	1	0	2	0	0	0	0	0	0	0	10	11	8	1	1	0	2	9.0284584E7	8.278684E7	7.9504632E7	3.461222E7	1.5389385E7	2.2225956E7	4.144464E7	4.3966008E7	4.1034004E7	4.1557484E7	0.0	0.0	0.0	3.4403652E7	sp|P62308|RUXG_HUMAN
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0	0.9983	6	14	14	14	5	4	5	0	0	0	0	5	4	5	0	0	0	0	5	4	5	0	0	0	0	2.4408072E7	2.4513678E7	2.1396288E7	0.0	0.0	0.0	0.0	7665251.5	7525820.5	7162029.0	0.0	0.0	0.0	0.0	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0	0.9988	9	25	0	25	10	8	7	0	0	0	0	0	0	0	0	0	0	0	10	8	7	0	0	0	0	1.0509472E8	4.8148372E7	4.7099888E7	0.0	0.0	0.0	6119147.0	1.9914348E7	1.9263582E7	1.8856974E7	0.0	0.0	0.0	0.0	sp|Q99613|EIF3C_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	40	0	40	10	11	12	1	2	2	2	0	0	0	0	0	0	0	10	11	12	1	2	2	2	1.83170176E8	1.69600272E8	1.82239296E8	2.2340092E7	1.7950672E7	9.9017552E7	1.753336E8	5.9827748E7	5.7736212E7	5.7929152E7	0.0	0.0	5.5382072E7	5.6281132E7	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	4:Protein predicted	Uncharacterized protein C11orf98	0.8109	0.9961	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|G2XKQ0|SUMO5_HUMAN	G2XKQ0	SUMO5_HUMAN	SUMO1P1	101	Homo sapiens	1:Experimental evidence at protein level	Small ubiquitin-related modifier 5	1.0	0.9969	2	3	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1.3167836E7	0.0	1.5413469E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P63165|SUMO1_HUMAN
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.9983	3	5	5	5	2	2	1	0	0	0	0	2	2	1	0	0	0	0	2	2	1	0	0	0	0	2685185.8	0.0	2302759.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.9983	15	18	18	103	5	6	7	0	0	0	0	5	6	7	0	0	0	0	29	27	29	2	3	7	6	3.59164E7	4.103916E7	5.5404616E7	0.0	0.0	0.0	0.0	1.9225836E7	2.1819288E7	1.9360282E7	0.0	0.0	0.0	0.0	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.9988	6	11	11	11	4	4	3	0	0	0	0	4	4	3	0	0	0	0	4	4	3	0	0	0	0	2.907157E7	2.6778776E7	1.7143614E7	0.0	0.0	0.0	0.0	1.1055733E7	9642303.0	1.0077797E7	0.0	0.0	0.0	0.0	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	0.9999	0.9918	2	5	5	5	1	2	2	0	0	0	0	1	2	2	0	0	0	0	1	2	2	0	0	0	0	4864058.0	0.0	1.3915148E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.9983	8	20	20	20	8	7	5	0	0	0	0	8	7	5	0	0	0	0	8	7	5	0	0	0	0	6.2615616E7	2.8745838E7	7.1357648E7	0.0	0.0	0.0	3.6698856E7	1.5864235E7	1.6522993E7	1.8777228E7	0.0	0.0	0.0	1.8068844E7	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.9989	4	11	11	11	5	4	2	0	0	0	0	5	4	2	0	0	0	0	5	4	2	0	0	0	0	1.4388078E7	8786708.0	8180778.0	0.0	0.0	0.0	0.0	8837598.0	5690673.0	5099770.5	0.0	0.0	0.0	0.0	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0	0.9967	3	4	4	4	1	2	1	0	0	0	0	1	2	1	0	0	0	0	1	2	1	0	0	0	0	2149551.0	760850.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.9986	5	23	17	23	7	8	8	0	0	0	0	5	6	6	0	0	0	0	7	8	8	0	0	0	0	4.3651864E7	3.9757116E7	4.810684E7	0.0	0.0	0.0	0.0	1.8738234E7	1.7740178E7	1.8491146E7	0.0	0.0	0.0	0.0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	13	96	96	96	28	30	27	1	3	3	4	28	30	27	1	3	3	4	28	30	27	1	3	3	4	4.64525952E8	4.54723424E8	4.5771232E8	6.9215784E7	1.12966392E8	1.86704352E8	1.79277552E8	7.7444952E7	8.0937624E7	8.1713768E7	0.0	7.50908E7	6.3548252E7	6.627126E7	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0	0.999	9	28	28	28	8	9	8	1	1	1	0	8	9	8	1	1	1	0	8	9	8	1	1	1	0	7.2391944E7	5.413532E7	5.2742468E7	1.5341439E7	0.0	2.0983184E7	0.0	1.5272303E7	1.4353441E7	1.4735553E7	0.0	0.0	0.0	0.0	
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens	1:Experimental evidence at protein level	Importin-5	1.0	0.9989	18	34	29	34	10	14	10	0	0	0	0	7	13	9	0	0	0	0	10	14	10	0	0	0	0	7.5527504E7	6.4416652E7	6.9246728E7	0.0	0.0	0.0	0.0	1.6632811E7	1.3534497E7	1.515778E7	0.0	0.0	0.0	0.0	
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1.0	0.9988	6	8	8	8	1	3	4	0	0	0	0	1	3	4	0	0	0	0	1	3	4	0	0	0	0	2.5880694E7	3.3296856E7	3.2983552E7	0.0	0.0	0.0	0.0	1.4771673E7	1.4116029E7	1.6402614E7	0.0	0.0	0.0	0.0	
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3	1.0	0.9947	3	4	3	4	0	2	2	0	0	0	0	0	2	1	0	0	0	0	0	2	2	0	0	0	0	0.0	1546827.4	1572019.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens	1:Experimental evidence at protein level	Dynamin-1-like protein	1.0	0.9977	4	6	6	6	3	3	0	0	0	0	0	3	3	0	0	0	0	0	3	3	0	0	0	0	0	8508705.0	1.0027733E7	1.1613372E7	0.0	0.0	0.0	0.0	5284966.5	6259184.5	7788786.0	0.0	0.0	0.0	0.0	
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase subunit NDUFA4	1.0	0.999	3	6	6	6	2	2	2	0	0	0	0	2	2	2	0	0	0	0	2	2	2	0	0	0	0	2.917499E7	2.5110278E7	2.6933352E7	0.0	0.0	0.0	1.1930446E7	1.3611524E7	1.2162658E7	1.2618364E7	0.0	0.0	0.0	0.0	
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 14	1.0	0.9987	2	5	5	5	1	3	1	0	0	0	0	1	3	1	0	0	0	0	1	3	1	0	0	0	0	6403769.0	5615175.0	7105738.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens	1:Experimental evidence at protein level	Pescadillo homolog	1.0	0.999	6	12	12	12	4	3	5	0	0	0	0	4	3	5	0	0	0	0	4	3	5	0	0	0	0	9066020.0	8120281.5	1.2483992E7	0.0	0.0	0.0	0.0	5021851.5	4611643.5	4882903.5	0.0	0.0	0.0	0.0	
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens	1:Experimental evidence at protein level	Nucleolar protein 56	1.0	0.9987	12	28	28	28	10	11	7	0	0	0	0	10	11	7	0	0	0	0	10	11	7	0	0	0	0	1.07202656E8	1.05451928E8	8.7913584E7	0.0	0.0	5.8016096E7	4.6107256E7	2.3549126E7	2.5123916E7	2.4375334E7	0.0	0.0	3.364978E7	2.6023302E7	
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0	0.999	21	94	23	109	29	32	28	0	0	2	3	8	7	7	0	0	0	1	33	38	32	0	1	2	3	2.08948128E8	2.19440432E8	2.23545472E8	0.0	0.0	7.701728E7	1.4636032E8	3.2486014E7	3.2770608E7	3.329451E7	0.0	0.0	3.21064E7	3.4826524E7	
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	Homo sapiens	1:Experimental evidence at protein level	Podocalyxin	1.0	0.9977	3	12	12	12	4	3	5	0	0	0	0	4	3	5	0	0	0	0	4	3	5	0	0	0	0	4.1955932E7	4.6134856E7	4.61795E7	0.0	0.0	3.5398988E7	3.7227288E7	3.2172396E7	3.2171762E7	3.1965388E7	0.0	0.0	0.0	0.0	
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens	1:Experimental evidence at protein level	Pirin	1.0	0.9978	2	3	3	3	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	7381982.5	1.875026E7	3606868.8	0.0	0.0	0.0	0.0	6381360.0	1.1290309E7	0.0	0.0	0.0	0.0	0.0	
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-3	1.0	0.9957	4	4	3	4	1	2	1	0	0	0	0	1	1	1	0	0	0	0	1	2	1	0	0	0	0	1.7403896E7	1.8005604E7	8.4292768E7	0.0	0.0	0.0	0.0	1.694338E7	1.660787E7	1.2586256E7	0.0	0.0	0.0	0.0	
