Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Intensity	QCHeLa10ng_ColTT1_BackFlush_03 Intensity	QCHeLa10ng_ColTT1_BackFlush_05 Intensity	QCHeLa200pg_ColTT1_BackFlush_02 Intensity	QCHeLa200pg_ColTT1_BackFlush_03 Intensity	QCHeLa200pg_ColTT1_BackFlush_04 Intensity	QCHeLa10ng_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_05 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_04 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	8	27	0	27	6	9	5	2	3	2	0	0	0	0	0	0	6	9	5	2	3	2	1.85909856E8	1.96040096E8	2.00664624E8	5.7985168E7	8.770776E7	7.0510944E7	4.1141424E7	3.9440064E7	4.2957508E7	4.0659136E7	4.0908888E7	4.768282E7	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein PIGBOS1	0.9699	0.9986	1	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1.5942123E7	1.3159977E7	1.4640138E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	9	14	14	14	6	7	1	0	0	0	6	7	1	0	0	0	6	7	1	0	0	0	4.0861548E7	4.619508E7	4.841112E7	0.0	0.0	0.0	1.4261104E7	1.4974551E7	1.541316E7	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	5	8	8	8	4	4	0	0	0	0	4	4	0	0	0	0	4	4	0	0	0	0	5.9261612E7	6.3027436E7	6.7082044E7	0.0	0.0	0.0	1.9509772E7	2.0743352E7	2.1043158E7	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	13	22	22	22	10	10	2	0	0	0	10	10	2	0	0	0	10	10	2	0	0	0	1.39044272E8	1.28730096E8	1.20868072E8	0.0	0.0	0.0	1.740771E7	1.7787278E7	1.6946078E7	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	9	19	19	19	8	8	3	0	0	0	8	8	3	0	0	0	8	8	3	0	0	0	7.702772E7	8.9334608E7	8.167908E7	0.0	0.0	0.0	2.0038124E7	2.1326906E7	2.3064774E7	0.0	0.0	0.0	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.9982	3	5	5	5	3	2	0	0	0	0	3	2	0	0	0	0	3	2	0	0	0	0	1.8518E7	1.6785776E7	1.5203956E7	0.0	0.0	0.0	6857475.5	5944912.0	5543806.0	0.0	0.0	0.0	
sp|A4D2H0|CTGEF_HUMAN	A4D2H0	CTGEF_HUMAN	CTAGE15	777	Homo sapiens	2:Experimental evidence at transcript level	cTAGE family member 15	0.9965	0.9918	2	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3346853.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A4FU28|CTGE9_HUMAN, sp|P0CG41|CTGE8_HUMAN, sp|Q86UF2|CTGE6_HUMAN, sp|Q8IX94|CTGE4_HUMAN, sp|Q96PC5|MIA2_HUMAN
sp|A4FU69|EFCB5_HUMAN	A4FU69	EFCB5_HUMAN	EFCAB5	1503	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 5	0.9271	0.9914	2	2	2	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	8.9141432E7	0.0	1.20363704E8	5.2450452E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.9989	12	18	18	18	9	6	3	0	0	0	9	6	3	0	0	0	9	6	3	0	0	0	7.1152296E7	3.5655144E7	4.578208E7	0.0	0.0	0.0	1.3857738E7	1.0516523E7	1.1872773E7	0.0	0.0	0.0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	7	15	15	15	5	7	3	0	0	0	5	7	3	0	0	0	5	7	3	0	0	0	1.08224256E8	1.02075416E8	1.01286008E8	0.0	0.0	0.0	2.5407354E7	2.6400794E7	2.6329536E7	0.0	0.0	0.0	
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	Homo sapiens	1:Experimental evidence at protein level	UPF0600 protein C5orf51	0.9778	0.999	1	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	6643670.0	6281471.0	6250942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	1.0	0.999	4	9	9	35	2	2	2	1	1	1	2	2	2	1	1	1	8	9	6	4	4	4	1.00728112E8	1.04744624E8	1.08409928E8	5.8229276E7	4.9763584E7	4.6889832E7	6.0008436E7	6.206722E7	6.5755968E7	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.9989	8	11	11	11	4	6	1	0	0	0	4	6	1	0	0	0	4	6	1	0	0	0	3.797908E7	4.6799528E7	9.563404E7	0.0	0.0	0.0	1.9973498E7	1.8497786E7	1.8002152E7	0.0	0.0	0.0	
sp|A8K0Z3|WASH1_HUMAN	A8K0Z3	WASH1_HUMAN	WASHC1	465	Homo sapiens	1:Experimental evidence at protein level	WASH complex subunit 1	0.998	0.996	2	3	0	3	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1.3802573E7	1.2993055E7	1.5258663E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A8MWX3|WASH4_HUMAN, sp|C4AMC7|WASH3_HUMAN, sp|Q6VEQ5|WASH2_HUMAN, sp|Q9NQA3|WASH6_HUMAN
sp|A8K7I4|CLCA1_HUMAN	A8K7I4	CLCA1_HUMAN	CLCA1	914	Homo sapiens	1:Experimental evidence at protein level	Calcium-activated chloride channel regulator 1	0.8735	0.9903	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	3	20	0	20	5	4	3	2	3	3	0	0	0	0	0	0	5	4	3	2	3	3	3.29800064E8	3.39884192E8	3.31219648E8	1.77675328E8	2.27900032E8	7.6867752E7	1.53844272E8	1.6159464E8	1.63997152E8	1.10883792E8	1.24599256E8	1.0046336E8	sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Nucleoside diphosphate-linked moiety X motif 19	0.9782	0.999	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1.0640377E7	1.1935698E7	9464233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0	0.999	18	48	45	48	15	19	12	0	1	1	14	17	12	0	1	1	15	19	12	0	1	1	4.27000352E8	3.84257472E8	4.0873584E8	0.0	2.489189E7	1.3666037E7	6.088702E7	5.9107344E7	5.9430152E7	0.0	0.0	0.0	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0	0.999	22	84	0	84	23	27	16	6	7	5	0	0	0	0	0	0	23	27	16	6	7	5	6.4422157E8	7.0819942E8	5.8647226E8	3.4147856E8	3.13874496E8	1.6452384E8	8.1891408E7	7.9527864E7	7.8699856E7	7.1834424E7	7.2803168E7	7.263276E7	sp|Q99613|EIF3C_HUMAN
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens	1:Experimental evidence at protein level	Golgi pH regulator A	0.9777	0.999	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9978682.0	8907128.0	8502979.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0CG08|GPHRB_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	6	46	0	46	9	13	10	5	4	5	0	0	0	0	0	0	9	13	10	5	4	5	8.7624634E8	9.3294842E8	8.5561363E8	5.10183424E8	5.7231962E8	5.4985152E8	2.28231552E8	2.41987616E8	2.20685808E8	1.9579656E8	1.92478448E8	1.92677056E8	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	4:Protein predicted	Uncharacterized protein C11orf98	1.0	0.999	2	7	7	7	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	4.0094772E7	5.100926E7	4.4678372E7	3.826726E7	3.7063436E7	3.6730096E7	0.0	4.9237932E7	3.4370596E7	0.0	0.0	0.0	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	1.0	0.999	3	6	6	6	2	3	1	0	0	0	2	3	1	0	0	0	2	3	1	0	0	0	3.0869252E7	3.365394E7	2.1941612E7	0.0	0.0	0.0	1.5877482E7	1.7049406E7	1.4823829E7	0.0	0.0	0.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	0.9466	0.9974	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1.6037493E7	1.4796715E7	1.50074E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	15	41	41	41	15	17	9	0	0	0	15	17	9	0	0	0	15	17	9	0	0	0	2.72363424E8	2.73351328E8	2.70721408E8	0.0	0.0	0.0	6.4790352E7	6.6935296E7	7.0362296E7	0.0	0.0	0.0	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.9989	4	5	5	5	3	2	0	0	0	0	3	2	0	0	0	0	3	2	0	0	0	0	2.336845E7	2.140883E7	2.482632E7	0.0	0.0	0.0	8968589.0	8648956.0	9786276.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	18	42	42	114	12	13	8	3	3	3	12	13	8	3	3	3	27	30	21	11	11	14	3.3578E8	2.97625664E8	3.2850592E8	1.85119152E8	1.56891936E8	1.72233584E8	1.04351464E8	1.0463652E8	1.14776336E8	9.208884E7	8.032692E7	9.2384912E7	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	10	32	24	32	11	11	7	0	1	2	9	8	5	0	1	1	11	11	7	0	1	2	2.46266784E8	7.6607757E8	7.4312422E8	0.0	7.8693832E7	6.0767224E7	8.8275648E7	1.3193444E8	1.88895632E8	0.0	1.4310712E8	4.6409708E7	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	21	48	46	48	20	21	7	0	0	0	19	20	7	0	0	0	20	21	7	0	0	0	2.07124448E8	2.12262336E8	2.1024544E8	0.0	0.0	0.0	2.5817908E7	2.475519E7	2.568941E7	0.0	0.0	0.0	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	0.9547	0.9978	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	1:Experimental evidence at protein level	HCLS1-associated protein X-1	1.0	0.999	4	7	7	7	3	2	2	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	2.8941532E7	2.5320484E7	2.928887E7	0.0	0.0	0.0	1.23667E7	1.1498419E7	1.2887628E7	0.0	0.0	0.0	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0	0.999	11	24	24	24	7	11	6	0	0	0	7	11	6	0	0	0	7	11	6	0	0	0	1.42202256E8	1.44848656E8	1.44832272E8	0.0	0.0	0.0	3.687238E7	3.4338564E7	3.6072996E7	0.0	0.0	0.0	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 1	1.0	0.9976	4	5	5	5	3	1	1	0	0	0	3	1	1	0	0	0	3	1	1	0	0	0	1.3812082E7	1.213843E7	1.1864358E7	0.0	0.0	0.0	7426002.0	6499097.0	6369346.0	0.0	0.0	0.0	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1.0	0.998	4	6	6	6	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	1.9708036E7	2.59293E7	4.068524E7	0.0	0.0	0.0	1.4072848E7	1.5668971E7	1.5806775E7	0.0	0.0	0.0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	Homo sapiens	1:Experimental evidence at protein level	Small acidic protein	1.0	0.999	2	14	14	14	2	7	3	1	0	1	2	7	3	1	0	1	2	7	3	1	0	1	1.44857888E8	1.35617888E8	1.20315328E8	5.7028924E7	0.0	8.3069712E7	5.8926676E7	6.670588E7	8.7124576E7	0.0	0.0	0.0	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.999	8	15	15	15	7	6	2	0	0	0	7	6	2	0	0	0	7	6	2	0	0	0	7.9319984E7	7.2123128E7	9.308152E7	0.0	0.0	0.0	1.904747E7	2.0519028E7	2.0894986E7	0.0	0.0	0.0	
