Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Spectral Count	Blank_50umC12_0min_1x_01 Spectral Count	Blank_50umC12_0min_1x_02 Spectral Count	Blank_50umC12_0min_1x_03 Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	Blank_50umC12_0min_1x_01 Unique Spectral Count	Blank_50umC12_0min_1x_02 Unique Spectral Count	Blank_50umC12_0min_1x_03 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	Blank_50umC12_0min_1x_01 Total Spectral Count	Blank_50umC12_0min_1x_02 Total Spectral Count	Blank_50umC12_0min_1x_03 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Intensity	10ngQCHeLa_50umC12_0min_1x_02 Intensity	10ngQCHeLa_50umC12_0min_1x_03 Intensity	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Intensity	200pgQCHeLa_50umC12_0min_1x_04 Intensity	200pgQCHeLa_50umC12_0min_1x_05 Intensity	200pgQCHeLa_50umC12_0min_1x_06 Intensity	20ngQCHeLa_50umC12_0min_1x_01 Intensity	20ngQCHeLa_50umC12_0min_1x_02 Intensity	20ngQCHeLa_50umC12_0min_1x_03 Intensity	2ngQCHeLa_50umC12_0min_1x_01 Intensity	2ngQCHeLa_50umC12_0min_1x_02 Intensity	2ngQCHeLa_50umC12_0min_1x_03 Intensity	2ngQCHeLa_75umC8_0min_1x_01 Intensity	2ngQCHeLa_75umC8_0min_1x_02 Intensity	Blank_50umC12_0min_1x_01 Intensity	Blank_50umC12_0min_1x_02 Intensity	Blank_50umC12_0min_1x_03 Intensity	10ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	10ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	10ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_04 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_05 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_06 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	Blank_50umC12_0min_1x_01 MaxLFQ Intensity	Blank_50umC12_0min_1x_02 MaxLFQ Intensity	Blank_50umC12_0min_1x_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens	1:Experimental evidence at protein level	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	5	39	0	39	4	3	3	0	0	0	0	4	3	4	5	5	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	4	3	4	5	5	5	2	1	0	0	0	6.3747284E7	5.9301164E7	6.2723464E7	0.0	0.0	0.0	0.0	7.2008008E7	6.5641128E7	8.0997968E7	5.8715724E7	5.719582E7	5.3209476E7	5.8133184E7	5.4207208E7	1.06916232E8	6.1426612E7	0.0	3.0710056E7	2.9319946E7	2.9646612E7	0.0	0.0	0.0	0.0	3.434198E7	2.8672914E7	3.1078172E7	2.926974E7	2.866099E7	2.6440078E7	2.730461E7	2.6834146E7	5.4783476E7	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens	1:Experimental evidence at protein level	Protein PIGBOS1	0.9627	0.9986	1	2	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4746467.5	4695852.5	4273660.0	0.0	0.0	0.0	0.0	3477223.5	4303804.0	3999257.2	1519717.8	3106637.8	0.0	0.0	4027121.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 47	0.8826	0.9953	1	2	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4563467.5	4494315.0	5385000.5	0.0	0.0	0.0	0.0	6687587.0	6835081.0	7016140.0	0.0	4885227.0	2458136.0	5450242.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	9	29	29	29	5	1	3	0	0	0	0	6	6	5	2	0	1	0	0	0	0	0	5	1	3	0	0	0	0	6	6	5	2	0	1	0	0	0	0	0	5	1	3	0	0	0	0	6	6	5	2	0	1	0	0	0	0	0	2.499801E7	3.1037238E7	3.5050832E7	0.0	0.0	0.0	0.0	3.516986E7	3.5279368E7	2.9312102E7	2.448315E7	2.998266E7	2.8989148E7	1.0342045E7	1.5942692E7	0.0	0.0	0.0	7168695.5	7109845.5	7911585.5	0.0	0.0	0.0	0.0	7575256.5	7971646.5	8045947.5	6534051.5	6613722.5	6978382.0	8346108.0	7850334.5	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	10	20	20	20	1	3	2	0	0	0	0	4	4	3	1	1	1	0	0	0	0	0	1	3	2	0	0	0	0	4	4	3	1	1	1	0	0	0	0	0	1	3	2	0	0	0	0	4	4	3	1	1	1	0	0	0	0	0	4.986618E7	3.8451512E7	2.4770032E7	0.0	0.0	0.0	0.0	2.923133E7	2.8602792E7	3.431178E7	1.0997354E7	3.3964424E7	2.0201952E7	1.8529956E7	1.9733406E7	0.0	0.0	0.0	9317771.0	7289192.0	7374882.5	0.0	0.0	0.0	0.0	7473478.5	7057206.0	6983151.5	7806948.5	8906981.0	6278382.0	9314382.0	7147578.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.9989	11	33	33	33	5	1	3	0	0	0	0	6	5	6	1	1	3	1	1	0	0	0	5	1	3	0	0	0	0	6	5	6	1	1	3	1	1	0	0	0	5	1	3	0	0	0	0	6	5	6	1	1	3	1	1	0	0	0	4.766494E7	4.2058992E7	3.8707064E7	0.0	0.0	0.0	0.0	4.4641524E7	8.2935592E7	3.8574916E7	4.4508844E7	4.5428004E7	3.0707956E7	2.7326056E7	1.6291301E7	0.0	0.0	0.0	9859327.0	9001485.0	8639733.0	0.0	0.0	0.0	0.0	8910780.0	8697432.0	8707173.0	8578340.0	8677852.0	7944061.0	9279892.0	7359835.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	6	30	30	30	4	1	1	0	0	0	0	6	5	7	3	1	2	0	0	0	0	0	4	1	1	0	0	0	0	6	5	7	3	1	2	0	0	0	0	0	4	1	1	0	0	0	0	6	5	7	3	1	2	0	0	0	0	0	5.529886E7	4.7389376E7	5.690558E7	0.0	0.0	0.0	0.0	4.7705996E7	5.7915272E7	5.8769044E7	3.0108888E7	1.9976424E7	3.0372106E7	2.3560028E7	2.4094086E7	0.0	0.0	0.0	1.6286537E7	1.4351187E7	1.6945724E7	0.0	0.0	0.0	0.0	1.8198684E7	1.7461734E7	1.7757116E7	1.2944557E7	1.2960658E7	1.2713329E7	1.333064E7	1.4034002E7	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	10	31	31	31	4	1	2	0	0	0	0	7	7	8	2	0	0	0	0	0	0	0	4	1	2	0	0	0	0	7	7	8	2	0	0	0	0	0	0	0	4	1	2	0	0	0	0	7	7	8	2	0	0	0	0	0	0	0	2.300612E7	2.1394888E7	2.2174754E7	0.0	0.0	0.0	0.0	2.2842568E7	2.8535244E7	2.9960216E7	1.7062618E7	1.5749965E7	1.4986938E7	1.3051666E7	9904558.0	0.0	0.0	0.0	4472567.5	4990833.0	5095030.5	0.0	0.0	0.0	0.0	5344091.5	5533401.5	5771545.0	4920835.0	4126542.8	4661101.5	5113925.5	4287832.0	0.0	0.0	0.0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0	0.999	9	46	46	46	6	4	5	0	0	0	0	6	5	8	3	3	4	1	1	0	0	0	6	4	5	0	0	0	0	6	5	8	3	3	4	1	1	0	0	0	6	4	5	0	0	0	0	6	5	8	3	3	4	1	1	0	0	0	5.4946304E7	4.8996704E7	5.8652368E7	0.0	0.0	0.0	0.0	5.8922896E7	6.0151472E7	6.1881232E7	5.3865592E7	5.278682E7	3.5889836E7	5.3258496E7	5.0726712E7	1.3944019E7	0.0	0.0	1.4196347E7	1.3779121E7	1.561353E7	0.0	0.0	0.0	0.0	1.6157795E7	1.6216911E7	1.8081116E7	1.5861813E7	1.5196676E7	1.2996026E7	1.7038646E7	1.6544018E7	0.0	0.0	0.0	
sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	Homo sapiens	1:Experimental evidence at protein level	UPF0600 protein C5orf51	1.0	0.9981	3	4	4	4	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4778158.0	4424124.0	2079212.6	0.0	0.0	0.0	0.0	5232637.5	2684131.0	3530679.0	3770518.0	0.0	0.0	3950165.5	4517042.0	0.0	0.0	0.0	2773784.5	2466569.2	0.0	0.0	0.0	0.0	0.0	2973092.8	0.0	0.0	2190659.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
